ZCTA,Households100to149K,Households150to199K,Households200KorMore,RFM1,RFM2,RFM3
94545,1800,1211,1253,9,9,9
94546,3376,2154,2522,9,9,9
94547,2218,1354,1449,9,9,9
94550,3405,3136,5151,9,9,9
94551,3031,2659,3835,9,9,9
94553,4359,2257,3141,9,9,9
94555,2617,1701,4044,9,9,9
94558,4671,2750,3750,9,9,9
94559,1825,1034,999,9,9,9
94560,3455,2317,2614,9,9,9
94561,3107,1769,1485,9,9,9
94565,4846,2219,1997,9,9,9
94566,2317,2504,6297,9,9,9
94568,4353,3007,5906,9,9,9
94577,3116,1850,2073,9,9,9
94578,2508,1142,808,9,9,8
94580,2218,1005,1013,9,9,9
94582,2222,1557,6340,9,9,9
94583,2181,2231,3999,9,9,9
94585,1925,1054,551,9,9,8
94587,4311,3524,4491,9,9,9
94588,2474,2304,4425,9,9,9
94589,1911,647,390,9,8,8
94590,1870,545,476,9,8,8
94591,3484,2130,1940,9,9,9
94596,2312,1123,2038,9,9,9
94601,1961,753,697,9,8,8
94605,2839,1345,1738,9,9,9
94606,2187,1160,928,9,9,9
94608,2696,1371,2373,9,9,9
94609,1965,935,1496,9,9,9
94610,2777,1845,3036,9,9,9
94611,2466,2231,5469,9,9,9
94803,1872,1236,934,9,9,9
94804,1893,932,800,9,9,8
94806,3317,1392,723,9,9,8
94901,2389,1500,3686,9,9,9
94903,2054,1697,2766,9,9,9
94928,2978,1254,1024,9,9,9
94941,2114,1440,5239,9,9,9
94947,2040,1079,2350,9,9,9
94952,2558,1442,2156,9,9,9
94954,2736,1839,1892,9,9,9
95003,1970,1318,2100,9,9,9
95008,3197,2573,4539,9,9,9
95014,3309,3132,8945,9,9,9
95020,3735,2427,3388,9,9,9
95023,3593,1681,1564,9,9,9
95035,4633,3604,6685,9,9,9
95037,3088,2303,4679,9,9,9
95050,2426,1834,2513,9,9,9
95051,4196,3442,6060,9,9,9
95054,1804,1707,2711,9,9,9
95060,2637,1832,3164,9,9,9
95062,2489,1554,1847,9,9,9
95076,3823,1807,2106,9,9,9
95111,2482,1430,1598,9,9,9
95112,3163,1871,2515,9,9,9
95116,2448,1015,972,9,9,9
95118,1995,1656,2774,9,9,9
95121,1987,1326,1846,9,9,9
95122,2683,1157,1163,9,9,9
95123,4710,3799,4917,9,9,9
95124,2592,2960,6084,9,9,9
95125,3106,2539,6198,9,9,9
95126,2570,1737,3147,9,9,9
95127,3416,2156,2581,9,9,9
95128,2142,1569,2730,9,9,9
95129,2005,1987,4900,9,9,9
95132,2531,1683,3019,9,9,9
95134,2967,2670,3561,9,9,9
95136,3515,1995,3350,9,9,9
95148,2511,2418,3110,9,9,9
95206,2028,625,361,9,8,8
95207,1914,865,634,9,9,8
95209,2916,1255,1045,9,9,9
95219,1963,921,1551,9,9,9
95240,1946,809,780,9,8,8
95301,1840,669,670,9,8,8
95307,1835,514,327,9,8,8
95336,2667,1281,723,9,9,8
95337,2481,1262,1037,9,9,9
95350,2737,965,618,9,9,8
95355,4016,1707,1299,9,9,9
95356,2092,841,993,9,9,9
